"nanyangSiteId","siteNameZh","siteNameEn","x","y"
"cca-kd-0001","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",103.848835,1.284811
"cca-kd-0002","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",103.84238,1.279203
"cca-kd-0003","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",103.848835,1.284811
"cca-kd-0004","（新加坡）广东会馆","SINGAPORE KWANG TUNG ASSOCIATION",103.840813,1.287034
"cca-kd-0005","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",103.855328,1.299068
"cca-kd-0006","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",103.847874,1.283466
"cca-kd-0007","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",103.846266,1.281705
"cca-kd-0008","（新加坡）张氏总会","CHANG CLAN GENERAL ASSOCIATION",103.885569,1.314959
"cca-kd-0009","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.843964,1.28584
"cca-kd-0010","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.844035,1.278506
"cca-kd-0011","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.858495,1.316086
"cca-kd-0012","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.858861,1.31239
"cca-kd-0013","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.885595,1.314698
"cca-kd-0014","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.878815,1.311735
"cca-kd-0015","（新加坡）彭氏总会","SINGAPORE PANG CLAN ASSOCIATION",103.885595,1.314698
"cca-kd-0016","（新加坡）曾邱公会","SINGAPORE CHAN KHOO KONG HUAY",103.846455,1.290532
"cca-kd-0017","（新加坡）曾邱公会","SINGAPORE CHAN KHOO KONG HUAY",103.863909,1.305634
"cca-kd-0018","（新加坡）曾邱公会","SINGAPORE CHAN KHOO KONG HUAY",103.885593,1.315238
"cca-kd-0019","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",103.843498,1.278766
"cca-kd-0020","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",103.842644,1.293833
"cca-kd-0021","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",103.806236,1.272195
"cca-kd-0022","（新加坡）杨氏总会","YANG CLAN GENERAL ASSOCIATION",103.878618,1.313346
"cca-kd-0023","（新加坡）永春会馆","ENG CHOON HWAY KUAN (SINGAPORE)",103.856724,1.29751
"cca-kd-0024","(新加坡)永春会馆","ENG CHOON HWAY KUAN (SINGAPORE)",103.847392,1.281824
"cca-kd-0025","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",103.847503,1.282085
"cca-kd-0026","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",103.849436,1.280981
"cca-kd-0027","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",103.842644,1.293833
"cca-kd-0028","（星洲）福建杨氏公会","SINGAPORE HOKKIEN YEO SEE ASSOCIATION",103.806236,1.272195
"cca-kd-0029","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",103.849514,1.293615
"cca-kd-0030","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",103.847554,1.284646
"cca-kd-0031","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",103.888314,1.315336
"cca-kd-0032","茶阳励志社, 茶阳（大埔）励志社","CHAR YANG (DABU) LEE CHEE ASSOCIATION",103.878664,1.313134
"cca-kd-0033","南安会馆, 新加坡南安会馆","SINGAPORE LAM ANN ASSOCIATION",103.84582,1.281216
"cca-kd-0034","南安会馆, 新加坡南安会馆","SINGAPORE LAM ANN ASSOCIATION",103.840955,1.292843
"cca-kd-0035","符氏社, 符氏社(祖祠）","FOO CLAN ASSOCIATION // FOO TEE TAY (CLAN TEMPLE)",103.85527,1.297284
"cca-kd-0036","符氏社, 符氏社(祖祠）","FOO CLAN ASSOCIATION // FOO TEE TAY (CLAN TEMPLE)",103.883918,1.311714
"cca-kd-0037","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",103.850499,1.293369
"cca-kd-0038","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",103.849514,1.293615
"cca-kd-0039","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",103.837714,1.304223
"cca-kd-0040","茶阳会馆, 茶阳（大埔）会馆","CHAR YONG (DABU) ASSOCIATION",103.882473,1.31173
"cca-kd-0041","浯卿陈氏公会","GNOH KENG TAN SI ASSOCIATION // WUQING CHEN'S ASSOCIATION",103.861504,1.302383
"cca-kd-0042","浯卿陈氏公会","GNOH KENG TAN SI ASSOCIATION // WUQING CHEN'S ASSOCIATION",103.880514,1.311526
"cca-kd-0043","三水会馆","SAM SUI WUI KUN",103.847425,1.286922
"cca-kd-0044","三水会馆","SAM SUI WUI KUN",103.845619,1.283707
"cca-kd-0045","三水会馆","SAM SUI WUI KUN",103.844868,1.284153
"cca-kd-0046","三水会馆","SAM SUI WUI KUN",103.881788,1.312386
"cca-kd-0047","三江会馆","SAM KIANG HUAY KWAN",103.851602,1.326902
"cca-kd-0048","三江会馆","SAM KIANG HUAY KWAN",103.835357,1.298402
"cca-kd-0049","三江会馆","SAM KIANG HUAY KWAN",103.848456,1.301974
"cca-kd-0050","东安渡头联谊社","TONG ANN TOR TOW LIAN NGEE SIA",103.845704,1.284149
"cca-kd-0051","东山励志社","TONG SAN LEE CHEE SIA",103.889876,1.313989
"cca-kd-0052","东张镇同乡会","TUNG CHIANG CHUN CLAN",103.879309,1.314
"cca-kd-0053","东陵琼崖同乡会","TANGLIN HENG JOW TANG YEO WEE",103.794691,1.311756
"cca-kd-0054","东陵琼崖同乡会","TANGLIN HENG JOW TANG YEO WEE",103.794365,1.31197
"cca-kd-0055","星洲中山古镇同乡会","SENG CHOW CHUNG SAN KOO CHAN THONG HIONG WUI",103.855052,1.309353
"cca-kd-0056",,"SINGAPORE CHUNG SAAN CHP PO THUNG HEUNG WAI",103.856699,1.309759
"cca-kd-0057","新加坡海洲会馆","HOU CHOW WUI KWUN",103.845424,1.281583
"cca-kd-0058","新加坡中山榄镇同乡会","SINGAPORE CHUNG SAN LAM CHAN THUNG HIONG WUI",103.842066,1.277874
"cca-kd-0059","丰顺会馆","FOONG SHOON FUI KUAN",103.861504,1.302383
"cca-kd-0060","丰顺会馆","FOONG SHOON FUI KUAN",103.885941,1.312685
"cca-kd-0061","丰顺会馆","FOONG SHOON FUI KUAN",103.886735,1.313476
"cca-kd-0062","义安公司","NGEE ANN KONGSI",103.843436,1.295135
"cca-kd-0063","新加坡云氏公会","SINGAPORE HOON CLAN ASSOCIATION",103.853601,1.296809
"cca-kd-0064",,"TIEN LIM CO-VILLAGERS ASSOCIATION",103.855138,1.312529
"cca-kd-0065","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",103.855328,1.299068
"cca-kd-0066","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",103.851832,1.301857
"cca-kd-0067","兴宁同乡会","SINGAPORE SHIN NENG FELLOW COUNTRY-MEN ASSOCIATION",103.886074,1.312515
"cca-kd-0068","兴安会馆","HIN ANN HUAY KUAN",103.85488,1.300894
"cca-kd-0069","兴安会馆","HIN ANN HUAY KUAN",103.852975,1.300197
"cca-kd-0070","兴安会馆","HIN ANN HUAY KUAN",103.850947,1.306763
"cca-kd-0071","兴安会馆","HIN ANN HUAY KUAN",103.85652,1.309509
"cca-kd-0072","冈州会馆","KONG CHOW WUI KOON",103.846866,1.283525
"cca-kd-0073","冈州会馆","KONG CHOW WUI KOON",103.841049,1.280956
"cca-kd-0074","冯氏总会","FONG CLAN GENERAL ASSOCIATION",103.857117,1.30934
"cca-kd-0075","冯氏总会","FONG CLAN GENERAL ASSOCIATION",103.842241,1.279048
"cca-kd-0076","冯氏总会","FONG CLAN GENERAL ASSOCIATION",103.857544,1.314175
"cca-kd-0077","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",103.848006,1.281782
"cca-kd-0078","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",103.848416,1.279251
"cca-kd-0079","刘关张赵古城会馆","LAU KWAN CHEONG CHEW KU SENG WUI KUN",103.883855,1.312465
"cca-kd-0080","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",103.856784,1.30678
"cca-kd-0081","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",103.846866,1.283525
"cca-kd-0082","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",103.845561,1.290311
"cca-kd-0083","刘氏总会","SINGAPORE LAU CLAN GENERAL ASSOCIATION",103.866312,1.328058
"cca-kd-0084","南安罗溪公所","LAM ANN LOH KHOE ASSOCIATION",103.845407,1.290857
"cca-kd-0085","南安罗溪公所","LAM ANN LOH KHOE ASSOCIATION",103.888584,1.31199
"cca-kd-0086","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",103.843775,1.277517
"cca-kd-0087","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",103.844403,1.277314
"cca-kd-0088","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",103.843991,1.274719
"cca-kd-0089","南洋周氏总会","THE NANYANG CHEW CLAN ASSOCIATION",103.883913,1.311864
"cca-kd-0090","南洋徐氏公会","NANYANG CHEE CLAN ASSOCIATION",103.861829,1.31087
"cca-kd-0091","南洋徐氏公会","NANYANG CHEE CLAN ASSOCIATION",103.879138,1.313408
"cca-kd-0092","南洋柯氏公会","NANYANG KUAH SI ASSOCIATION",103.859234,1.303754
"cca-kd-0093","南洋柯氏公会","NANYANG KUAH SI ASSOCIATION",103.859292,1.303681
"cca-kd-0094","南洋梁氏公会","NANYANG NEO CLAN ASSOCIATION",103.878807,1.35413
"cca-kd-0095","南洋梁氏公会","NANYANG NEO CLAN ASSOCIATION",103.878234,1.355288
"cca-kd-0096","南洋江氏总会, 新加坡江氏总会","KANG ASSOCIATION (SINGAPORE)  //  NANYANG KANG CLAN GUILD",103.847455,1.281994
"cca-kd-0097","南洋江氏总会, 新加坡江氏总会","KANG ASSOCIATION (SINGAPORE)  //  NANYANG KANG CLAN GUILD",103.894968,1.307825
"cca-kd-0098","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",103.857273,1.308828
"cca-kd-0099","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",103.857868,1.307802
"cca-kd-0100","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",103.853324,1.307117
"cca-kd-0101","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",103.835747,1.443714
"cca-kd-0102","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",103.834642,1.416788
"cca-kd-0103","南洋潘氏总会","NANYANG PHUA CLAN ASSOCIATION",103.853324,1.307117
"cca-kd-0104","南洋胡氏公会","NANYANG HWU CLAN GENERAL ASSOCIATION",103.854831,1.300534
"cca-kd-0105","南洋胡氏公会","NANYANG HWU CLAN GENERAL ASSOCIATION",103.851466,1.299874
"cca-kd-0106","南洋胡氏公会","NANYANG HWU CLAN GENERAL ASSOCIATION",103.889249,1.314731
"cca-kd-0107","南洋罗氏公会","NANYANG LOH CLAN ASSOCIATION",103.860176,1.304542
"cca-kd-0108","南洋罗氏公会","NANYANG LOH CLAN ASSOCIATION",103.884167,1.312376
"cca-kd-0109","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",103.855328,1.299068
"cca-kd-0110","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",103.877795,1.311472
"cca-kd-0111","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",103.883664,1.315798
"cca-kd-0112","南洋范氏总会","NANYANG FAN CLAN GENERAL ASSOCIATION",103.877795,1.311472
"cca-kd-0113","南洋薛氏总会","NANYANG SEET CLAN ASSOCIATION",103.859706,1.300368
"cca-kd-0114","南洋薛氏总会","NANYANG SEET CLAN ASSOCIATION",103.85969,1.313303
"cca-kd-0115","南洋薛氏总会","NANYANG SEET CLAN ASSOCIATION",103.849538,1.338894
"cca-kd-0116","南洋赵氏总会","NANYANG CHAO CLAN ASSOCIATION",103.876929,1.309446
"cca-kd-0117","南洋赵氏总会","NANYANG CHAO CLAN ASSOCIATION",103.858232,1.310201
"cca-kd-0118","南洋马氏总会","NANYANG MAH CLAN GENERAL ASSOCIATION",103.847672,1.287094
"cca-kd-0119","南洋马氏总会","NANYANG MAH CLAN GENERAL ASSOCIATION",103.883901,1.311349
"cca-kd-0120","南海同乡会","NAM HOI CLAN ASSOCIATION",103.844473,1.282293
"cca-kd-0121","南璧同乡会","NAN PIH ASSOCIATION",103.877222,1.313671
"cca-kd-0122","南舜同宗会","LAM SOON TANG CHONG HUAY",103.899136,1.374466
"cca-kd-0123","南舜同宗会","LAM SOON TANG CHONG HUAY",103.878924,1.350622
"cca-kd-0124","卢氏宗祠","LOKE'S ASSOCIATION",103.876611,1.309195
"cca-kd-0125","古宁同乡会","SINGAPORE KOH LENG ASSOCIATION",103.876062,1.312467
"cca-kd-0126","后港区琼崖同乡会","SERANGOON KHIUNG JAI CO-VILLAGERS ASSOCIATION",103.883962,1.35309
"cca-kd-0127","后港区琼崖同乡会","SERANGOON KHIUNG JAI CO-VILLAGERS ASSOCIATION",103.886487,1.351724
"cca-kd-0128","后港区琼崖同乡会","SERANGOON KHIUNG JAI CO-VILLAGERS ASSOCIATION",103.883677,1.35087
"cca-kd-0129","嘉应五属公会, 嘉应五属同乡会","KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION",103.849953,1.307351
"cca-kd-0130","嘉应五属公会, 嘉应五属同乡会","KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION",103.776539,1.342413
"cca-kd-0131","嘉应五属公会, 嘉应五属同乡会","KAR YENG FIVE DISTRICTS GENERAL ASSOCIATION",103.775496,1.344854
"cca-kd-0132","天河同乡会","THIN HO THUNG HEONG WUI",103.846032,1.281432
"cca-kd-0133","天河同乡会","THIN HO THUNG HEONG WUI",103.845574,1.281036
